Site,Date,Time,Parameter,Value
CUS,2/4/2020,4:00,SO2,-0.27
CUS,2/12/2020,23:00,SO2,-0.27
CUS,1/7/2020,5:00,SO2,-0.27
CUS,12/8/2020,23:00,SO2,-0.27
CUS,1/29/2020,21:00,SO2,-0.27
CUS,2/4/2020,19:00,SO2,-0.27
CUS,4/1/2020,0:00,SO2,-0.27
CUS,3/7/2020,23:00,SO2,-0.27
CUS,1/3/2020,12:00,SO2,-0.27
CUS,8/30/2020,3:00,NO,-0.26
CUS,9/18/2020,3:00,NO,-0.26
CUS,5/3/2020,5:00,NOx,-0.26
CUS,1/6/2020,21:00,SO2,-0.26
CUS,1/30/2021,1:00,SO2,-0.26
CUS,3/25/2020,2:00,SO2,-0.26
CUS,6/12/2020,1:00,SO2,-0.26
CUS,4/10/2020,6:00,SO2,-0.26
CUS,3/9/2020,2:00,SO2,-0.26
CUS,6/25/2020,5:00,SO2,-0.26
CUS,1/20/2021,4:00,SO2,-0.26
CUS,3/3/2020,13:00,SO2,-0.26
CUS,1/15/2020,23:00,SO2,-0.26
CUS,4/29/2020,4:00,SO2,-0.26
CUS,4/10/2020,3:00,NO,-0.26
CUS,1/15/2021,3:00,SO2,-0.26
CUS,1/22/2020,23:00,SO2,-0.26
CUS,2/15/2021,4:00,SO2,-0.26
CUS,4/12/2020,13:00,SO2,-0.26
CUS,2/22/2020,18:00,SO2,-0.26
CUS,12/25/2020,3:00,SO2,-0.26
CUS,8/24/2020,4:00,NO,-0.26
CUS,12/27/2020,4:00,SO2,-0.26
CUS,5/8/2020,5:00,SO2,-0.26
CUS,4/22/2020,5:00,SO2,-0.26
CUS,6/3/2020,2:00,SO2,-0.25
CUS,1/28/2020,4:00,SO2,-0.25
CUS,3/28/2020,2:00,NO,-0.25
CUS,2/22/2020,15:00,SO2,-0.25
CUS,11/17/2020,23:00,SO2,-0.25
CUS,8/11/2020,2:00,SO2,-0.25
CUS,1/25/2020,20:00,SO2,-0.25
CUS,12/24/2020,2:00,SO2,-0.25
CUS,11/22/2020,9:00,SO2,-0.25
CUS,6/26/2020,5:00,SO2,-0.25
CUS,11/25/2020,23:00,SO2,-0.25
CUS,11/7/2020,16:00,SO2,-0.25
CUS,11/27/2020,4:00,SO2,-0.25
CUS,8/23/2020,1:00,NO,-0.25
CUS,1/18/2021,22:00,SO2,-0.25
